chr15-1	chr15	69745082	69745232	+	62987.1	0.961	123675.000000	6890.69	0.00e+00	0.959300	0.836458
chr15-2	chr15	72523457	72523607	-	42554.5	0.977	83240.000000	13595.61	0.00e+00	0.651363	0.736860
chr15-3	chr15	78832715	78832865	+	32135.5	0.884	62857.000000	2282.79	0.00e+00	0.293428	0.838403
chr15-4	chr15	63449602	63449752	-	31494.3	0.734	61598.000000	5965.98	0.00e+00	0.584713	0.394488
chr15-5	chr15	60690111	60690261	-	14493.0	0.998	28346.000000	3171.02	0.00e+00	0.982572	0.374494
chr15-6	chr15	25200060	25200210	+	8976.7	0.983	17557.000000	4725.04	0.00e+00	0.910178	0.878250
chr15-7	chr15	45003635	45003785	+	8467.9	0.990	16570.000000	15761.90	0.00e+00	0.984181	0.874046
chr15-8	chr15	44084452	44084602	+	8122.3	0.737	15889.000000	10127.97	0.00e+00	0.570188	0.492531
chr15-9	chr15	55489060	55489210	-	8034.4	0.885	15869.000000	4525.82	0.00e+00	0.595535	0.825287
chr15-10	chr15	90437167	90437317	-	7249.0	0.396	14189.000000	6947.93	0.00e+00	0.303357	0.575478
chr15-11	chr15	80351956	80352106	+	7224.0	0.688	14186.000000	304.20	0.00e+00	0.484325	0.433923
chr15-12	chr15	59903906	59904056	+	5786.2	0.877	12917.000000	438.44	0.00e+00	0.932196	0.663576
chr15-13	chr15	40331274	40331424	-	5685.5	0.863	11122.000000	2765.96	0.00e+00	0.385612	0.500293
chr15-14	chr15	64673566	64673716	-	5320.5	0.992	10410.000000	330.27	0.00e+00	0.941572	0.610197
chr15-15	chr15	41625005	41625155	+	5174.7	0.959	10191.000000	7818.97	0.00e+00	0.746617	0.453801
chr15-16	chr15	44038560	44038710	+	4839.8	0.980	9466.000000	21434.51	0.00e+00	0.775724	0.504946
chr15-17	chr15	34517149	34517299	+	4766.2	0.616	9325.000000	300.37	0.00e+00	0.434549	0.483871
chr15-18	chr15	59664996	59665146	-	4090.8	0.911	8004.000000	2356.05	0.00e+00	0.907500	0.464865
chr15-19	chr15	50716526	50716676	+	3018.6	0.770	5922.000000	8615.47	0.00e+00	0.468665	0.475614
chr15-20	chr15	89787134	89787284	+	3007.4	0.484	5883.000000	9656.28	0.00e+00	0.406085	0.444762
chr15-21	chr15	90777096	90777246	-	2955.2	0.918	5794.000000	681.42	0.00e+00	0.471963	0.734186
chr15-22	chr15	64455144	64455294	-	2848.4	0.411	5575.000000	916.86	0.00e+00	0.371613	0.699029
chr15-23	chr15	59041913	59042063	-	2650.0	0.399	5423.000000	482.77	0.00e+00	0.228374	0.698417
chr15-24	chr15	64679966	64680116	+	2517.6	0.792	4970.000000	3592.70	0.00e+00	0.576533	0.408917
chr15-25	chr15	90931433	90931583	+	1987.4	0.739	3891.000000	4184.37	0.00e+00	0.355784	0.592578
chr15-26	chr15	57210794	57210944	+	1886.1	0.972	3692.000000	489.38	0.00e+00	0.760185	0.687429
chr15-28	chr15	26874163	26874313	-	1850.4	0.934	3630.000000	3444.17	0.00e+00	0.657317	0.729335
chr15-29	chr15	35261824	35261974	-	1736.8	0.982	3431.000000	1677.22	0.00e+00	0.171952	0.397552
chr15-27	chr15	79165247	79165397	+	1680.1	0.421	3659.000000	313.18	0.00e+00	0.532562	0.474609
chr15-30	chr15	65337652	65337802	+	1678.0	0.741	3302.000000	1128.37	0.00e+00	0.305904	0.497135
chr15-31	chr15	34502162	34502312	-	1634.1	0.786	3217.000000	5381.30	0.00e+00	0.427937	0.778024
chr15-32	chr15	78730482	78730632	+	1622.8	0.381	3179.000000	8337.04	0.00e+00	0.463531	0.536404
chr15-33	chr15	76603685	76603835	-	1621.3	0.657	3172.000000	7712.19	0.00e+00	0.301988	0.534810
chr15-34	chr15	77713154	77713304	+	1616.2	0.410	3164.000000	319.83	0.00e+00	0.409867	0.477492
chr15-36	chr15	42840978	42841128	+	1582.4	0.871	3101.000000	12702.40	0.00e+00	0.528235	0.759918
chr15-35	chr15	66161776	66161926	+	1576.8	0.678	3108.000000	2736.70	0.00e+00	0.274199	0.489741
chr15-37	chr15	83654886	83655036	+	1565.1	0.779	3076.000000	2051.08	0.00e+00	0.790591	0.892356
chr15-38	chr15	56285701	56285851	-	1541.0	0.755	3016.000000	3734.33	0.00e+00	0.251744	0.435863
chr15-40	chr15	52161432	52161582	+	1493.5	0.922	2931.000000	3996.09	0.00e+00	0.451712	0.526546
chr15-39	chr15	69113133	69113283	-	1454.6	0.912	2941.000000	697.10	0.00e+00	0.339972	0.214399
chr15-41	chr15	22833423	22833573	+	1453.6	0.874	2844.000000	1944.69	0.00e+00	0.754571	0.812321
chr15-42	chr15	91537715	91537865	-	1357.5	0.493	2657.000000	3874.33	0.00e+00	0.312335	0.560066
chr15-44	chr15	23034305	23034455	-	1343.7	0.540	2635.000000	1232.66	0.00e+00	0.247909	0.370576
chr15-43	chr15	85923760	85923910	+	1340.6	0.881	2644.000000	2648.89	0.00e+00	0.815338	0.450413
